body,clusters_0,sentiment_positive_score,sentiment_negative_score,sentiment_combined_score,sentiment_summary,published_date,post_type,total_engagement,comments,shares,likes,author_gender,followers
"""Larger increases in depression and anxiety symptoms were observed for women who had income disruptions, difficulty balancing home schooling with work responsibilities, and those with difficulty obtaining childcare."" New Free COVID19 Research ,",Government Support,1.846394278,6.964217642,-1.674124166,negative,"Mar 26, 2021",Reposts,0,0,0,0,Female,6312
"Sigh. This is unfair sha. Nigerian doctors perform miracles on a daily despite the terrible state of healthcare in this country. They're overworked, underpaid,owed salaries, etc. Yes, there are avoidable deaths but many of these deaths have to do with these factors I've listed.",State Pension,2.096739964,6.461088922,-1.471987717,negative,"Jun 13, 2021",Reposts,0,0,0,0,Unknown,5893
"According to a new study, lowestpaid workers are more than twice as likely to have lost their jobs during the pandemic than higherpaid employees. We urgently need to introduce a system of Universal Basic Income to prevent thousands more being forced into poverty.",Mental Health,2.829621813,3.900974476,-0.66765691,negative,"Jan 22, 2021",Reposts,0,0,0,0,Unknown,5292
"🚨 While the , lurch from one crisis to the next, the UK's poorest families pay the price. ✅ Let's try giving families the security and support they need with an EmergencyUBI.",State Pension,1.788857864,5.277455326,-1.428440275,negative,"Jan 19, 2021",Reposts,0,0,0,0,Female,4180
"It’s despicable the way we treat NHS employees. The pay is so poor so many have to live in outlying areas and so have long commutes into city centres. The cost of that on top of everything else. And often parking, too. , has a moral obligation to address this.",Long Hours,3.14736428,2.172262613,0.024222473,neutral,"Feb 27, 2021",Reposts,0,0,0,0,Male,2697
"Students at Oberlin, which costs $80,000/year to attend, are angry and scared that the lowpaid servants sent to fix their radiators are cis men. Perfect illustration of how shitty identity leftism doesn't just ignore class repression but reinforces it: ,",Low Income Families,4.733257255,4.349932426,-0.262120298,neutral,"Oct 19, 2021",Reposts,0,0,0,0,Male,2380
Sky news reporting self harm and suicides in children rising month on month. Units struggling. Families in despair. Like its a suprise. The ongoing crisis from these ridiculous measures is unbelievable. They will pay. We won't forget.,Low Income Families,3.467234346,5.370902215,-0.784212237,negative,"May 20, 2021",Reposts,0,0,0,0,Male,1334
"If this doesn't break your heart, nothing ever will😰😰😭😭 ''In NIGER State, the poor hapless citizens managed to raise N25m to settle the ransom demands of BANDITS. They sent the money but alas the Bandits say the parents paid to the wrong Bandits. They punished them by raising",Income Tax,3.585903201,5.588990706,-0.790361926,negative,"Jul 28, 2021",Reposts,0,0,0,0,Unknown,1280
"I *HEAVILY* dislike this dynamic where everything bad that happens in the US is compared to lowerincome countries. In the US many people can’t afford rent and other bills, the pandemic made it worse. I’ve had to boil water to bathe with in the US without storms having happened.",Poor People,2.891547309,5.707620678,-1.026584073,negative,"Feb 19, 2021",Reposts,0,0,0,0,Unknown,1261
"New vlog As the Prime Minister talks about levelling up, he has chosen to level down the incomes of 5.5 million of Britain’s poorest families. This isn’t Build Back Better, it’s breaking a lifeline for millions of workers, carers & disabled people. , CPC21 ,",Low Income Families,3.469856771,3.590693009,-0.380805496,negative,"Oct 6, 2021",Reposts,0,0,0,0,Unknown,881
"The Tories say low pay is the individual’s fault, to “work harder” or “get a different job”. But the problem is a system that rewards exploitation  enabling British billionaires to rake in over £100bn profit from COVID, while the people who got us through it earn poverty wages.",Mental Health,3.596987749,4.933343734,-0.662493832,negative,"Oct 3, 2021",Reposts,0,0,0,0,Male,395
This includes a majority of Republicans. Trump and his cronies risk alienating the majority of republicans by their bad loser tactics. The more the Republican cheating tactics come to light (eg paying a postal worker to lie) the truer that will be.,Wage Growth,3.111404021,5.442822733,-0.905797323,negative,"Nov 11, 2020",Reposts,0,0,0,0,Male,296
He has bills to pay and a career himself. Family to provide for. Dreams. Why should he miss out on his earnings? He has no choice now but to get in the ring with a man he KNOWS has an unfair advantage over him. He knows he could be hurt. It’s wrong.,Council Tax,1.927698206,3.900974476,-1.051473326,negative,"Sep 3, 2021",Original,101,8,1,92,Male,127929
"18, but only because there was no parents’ home to live in/move back to But lets not pretend it’s a luxury to stay home when it’s the economy of low pay and high rents denying people independence",Small Businesses,5.163267043,1.277755617,1.049890822,positive,"Dec 19, 2020",Original,65,4,6,55,Female,27668
"I have no inside info now, but if correct this is v regrettable & counterproductive. GLD people have delivered under huge pressure & their pay has lagged badly. Failing to address this can only damage morale, recruitment & retention, increasing reliance on expensive externals",Leaseholding,1.421800148,5.034183753,-1.61090121,negative,"Feb 8, 2021",Original,94,5,10,79,Male,17770
"Coping mechanisms don't pay bills. They don't stop inescapable debt because fixed incomes are inadequate. They don't stop the cumulative physical and mental health damage caused by inadequate low pay, inadequate benefit rates and Universal Credit IHateBorisJohnson",Government Support,4.044748416,5.056636051,-0.569855688,negative,"Aug 15, 2021",Original,8,0,2,6,Male,15261
"For 'triple lock' fans, this is really interesting. Average earnings figures are being inflated not (purely) because of pay rises, but because lower earners have lost jobs altogether. Will HMT come up with a *modified* earnings figure for the next triple lock calc??",Pay Rises,2.795653285,2.992244175,-0.414531444,negative,"Jun 15, 2021",Original,51,3,14,34,Male,13638
"The superrich Corporates can well afford to lose money, SMEs cannot. Indeed some rich have become even richer during virus , It is small businesses, the selfemployed lone traders & low income groups that are suffering most, as per usual. coronavirusuk",Low Income Families,2.829621813,3.837045127,-0.651133095,negative,"Feb 28, 2021",Original,2,0,1,1,Female,11282
"The only people it will be 'wonderful for' are his Hedge Fund Manager backers and his privatisation cronies. He can't even articulate the exact 'benefits' we will achieve from Brexit, all pie in the sky rhetoric. The poorest will pay the highest cost",Cost of Living,6.461474826,0.894428932,1.630853832,positive,"Dec 11, 2020",Original,4,0,1,3,Male,9342
"This, by ,, is unexpectedly powerful and still relevant. Our medics deserve a great deal better than TorySleaze and no pay rise, ,. Did you enjoy your ‘private drink’ with David Cameron? Because you’d better be aware you broke the Ministerial Code.",Public Sector Pay,5.456482873,1.472148581,0.963507876,positive,"Apr 15, 2021",Original,1,0,0,1,Unknown,7022
"Sunak, the next worst PM in waiting is ‘waging war’ on Johnson saying netzero by 2050 will hit poor families hardest because of energy bills. He also voted to end the extra £20 UC & against extending free school meals. sunak toryhypocrisy ToryLiars ,",Cost of Living,3.412320356,5.277455326,-0.78262511,negative,"Aug 8, 2021",Original,17,3,1,13,Female,6123
"More people with mild asymptomatic infection will lead to greater spread. More people with virus will lead to mutations, some of which may be bad for us. This is such a bad move, it's a false economy, it's buy now pay later. ,",Statutory Sick Pay,2.765692463,3.805080452,-0.665619683,negative,"Jul 2, 2021",Original,5,0,1,4,Male,5353
"Guardian writeup of our report today, on prospects for living standards. , Summary: if support is removed in 202122 before we are back to normal, then incomes will fall & poverty rise. Read the whole thing here: ,",Cost of Living,6.155396194,2.208222872,0.678567475,positive,"Jan 18, 2021",Original,10,0,4,6,Male,3662
If you haven’t spotted that the sociopaths laughing at shit jokes don’t care how many low paid humans get killed in their wake as they plunder the public purse you must have been asleep. The cavalry has I’m afraid been disbanded by the public school establishment. This is it.,Social Care,3.55589031,3.728513508,-0.39397775,negative,"Oct 6, 2021",Original,40,4,5,31,Unknown,3509
"My , disability benefits were reinstated a few weeks ago, I'm grateful & surprised considering all the bad press their PIP process has had & my own past experience. It's given me more faith in The System. However, trauma prevention is better than paying for its consequences.",Government Support,2.765692463,1.9309001,0.012731185,neutral,"Sep 22, 2021",Original,0,0,0,0,Female,3497
"If ever anyone tells you they don't like process, then just ask them if they like getting paid every month. If they do, then funnily enough they do like process after all. What they don't like is apparent 'bad' process that hinders their ability to deliver.",Low Income Families,2.132700223,4.716892489,-1.140334915,negative,"Jun 24, 2021",Original,25,3,2,20,Unknown,3444
"Austerity is alive and well, and giving public services a kicking... Not to mention the huge and devastating cut to the foreign aid budget that will hit to world's poorest children hardest! Help for some paid for by those who can least afford it. ,",Mental Health,4.162028338,3.298409579,-0.11401146,neutral,"Feb 28, 2021",Original,0,0,0,0,Male,3256
"""... the real injustice is experienced by hospital staff who cannot afford a car or cannot drive for reasons of health or disability and low income hospital workers who experience forced car ownership. ..."" NoSuchThingAsFreeParking LiveableCities",Public Sector Pay,2.891547309,6.461799229,-1.150689628,negative,"Dec 8, 2020",Original,16,0,6,10,Unknown,3134
"I find it appalling that Cameron’s Government set out to deliberately mislead the public, and actively took steps to prevent the truth being told of low paid wages likely to increase. No wonder we got such a bad deal with the EU . ,",State Pension,3.111404021,3.226489061,-0.38289408,negative,"Jun 11, 2021",Original,1,0,0,1,Male,2897
"Immigration has pushed wages down, so now we’ll just raise wages & live bountifully? No! Firms will go bust, prices/inflation will rise, economy will tank. Solution=increase immigration from poor countries outside EU, with no nasty tax laws for the rich to worry about! Result! 👍",State Pension,3.318040729,2.944297162,-0.227069257,neutral,"Oct 4, 2021",Original,21,0,6,15,Female,2805
"Haha , nothing will work until you sort out the financial system. People are working for money that is losing value, wages are stagnant yet prices are increasing. Debt based fiat money is becoming worthless , that’s why there is so much poverty , even among hardworking people.",House Prices,1.577207623,4.857583573,-1.471458741,negative,"Feb 5, 2021",Original,2,0,0,2,Male,2439
HGV  The Gov must Stop charging ridiculous amounts to test and train for a HGV  people desperate for worker need a job but can’t afford the costs due to the terrible wages they get in return. Stop exploiting the poor BORIS! Fgs!,Job,1.318853056,4.892246295,-1.657462691,negative,"Aug 27, 2021",Original,0,0,0,0,Male,2437
"Completely agree with , low SSP is forcing people into making precarious decisions in order to feed their families and pay bills. Support our workers to stay safe and keep us all safe JoinAUnion",Low Income Families,4.148538695,2.992244175,-0.019841106,neutral,"Jan 25, 2021",Original,1,0,1,0,Unknown,2411
"Think probably 5 or 6 of these are ones I voted for, so not bad. Still absolute mad that £15 minimum wage won but the trade union one didnt make the top 8. Curious. PR second as well is a very interesting shift. Would leadership ever actually take it up?",Minimum Wage Increase,3.382499976,0.688022255,1.245975577,positive,"Apr 7, 2021",Original,2,1,0,1,Male,2217
People are absolutely right to be raising the issue of low pay for care workers and many others in the public and private sector. But this isn't an argument to pay nurses less. It's an argument to start paying everyone a decent and fair wage.,Public Sector Pay,4.756603815,2.482585843,0.303659643,neutral,"Mar 6, 2021",Original,32,1,9,22,Male,1834
"UC cut, low benefits, triple lock pension scrap, lowest pensions in EU, wages stagnant, utility bills hike, potential council tax hike, food cost up, fuel cost up, national insurance hike… And yet I feel there will be more.",National Insurance,4.196485707,2.992244175,-0.008349818,neutral,"Oct 7, 2021",Original,2,0,0,2,Unknown,1758
"My electricity and gas payment went up by £30 this month. I'm nervous about heating this winter, and I'm not about to lose more than double that from an already too low income. The government's cruelty in taking this money away is inhumane. They are devoid of any humanity.",Cost of Living,1.538661899,7.161202954,-1.884338426,negative,"Oct 2, 2021",Original,0,0,0,0,Female,1673
Yup. Before this lockdown my children’s schools already couldn’t fully open because of the numbers of staff off sick or selfisolating. Children in state schools and in lowerincome families are most disadvantaged by home learning. Going back piecemeal only widens that gap.,Low Income Families,3.638085188,2.564780721,0.00301092,neutral,"Feb 21, 2021",Original,4,1,0,3,Female,1603
"They will do anything to get their cheap foreign Labour from the EU. It’s morally wrong to take skilled workers from poorer countries as leaves them short of critical staff ! Pay proper wages = No staff shortage ,",Poor Pay,6.086142666,2.944297162,0.379570768,positive,"Sep 28, 2021",Original,4,0,1,3,Unknown,1575
"A poor argument, for a lawyer. Luxury cars are the only one of those examples that supports the argument, unless you consider shiprights to include luxury yacht builders. Sounds like a Libertarian politician to me. Give the wealthy everything they want, paid for by everyone else.",Income Tax,4.09010782,2.172262613,0.286228438,neutral,"Jan 24, 2021",Original,7,4,1,2,Male,1506
"Of course, ethnicity pay gaps alone are a poor measure of overall racial equity  but this data is vital to help understand the full picture of people’s experiences and hold orgs accountable. It’s simply unacceptable that execs are withholding the information.",Leaseholding,3.111404021,3.298409579,-0.404939919,negative,"Sep 15, 2021",Original,0,0,0,0,Unknown,1465
Madness all round! Something so seriously wrong with paying the French such large sums to stop them but actually increasing the crossings! They must be assisting these crossings at every level. If only we have a government of some backbone to properly deal with this absurdity!,Government Support,1.958968947,2.656415857,-0.651133095,negative,"Dec 8, 2020",Original,2,0,1,1,Unknown,1386
"Guardian just wrong to call this a 'dangerous distraction', and to treat the problem as if it's primarily about middle class parents finding homeschooling hard. People's (mostly women's) incomes have been decimated, with the poorest hit hardest. ,",Low Income Families,1.927698206,4.870029327,-1.273346897,negative,"Jan 26, 2021",Original,6,1,1,4,Female,1349
"Would love you to go and work on the wards and then try and NOT justify a pay increase. Keep your abhorrent views quiet, we don’t need them",Poor Pay,1.118036165,3.48053781,-1.482186693,negative,"Jul 22, 2021",Original,1,1,0,0,Unknown,1291
"Science journalism is trash as is paywalling academic research. These sorts of social science studies have been beset with problems including poor sample selection, manipulation of data sets to show more significant correlation, poor hypothesis construction and...",Social Care,1.846394278,5.33499174,-1.407626228,negative,"Feb 16, 2021",Original,2,1,1,0,Male,987
"A fascinating & alarming thread, highlighting the real division in society. The (majority of the) generation most insulated from economic disaster is inflicting it on the poor beggars who are paying their triple locked pensions with their taxes. Cynical. NeverVoteConservatives",Income Tax,2.765692463,4.774135302,-0.892495417,negative,"May 5, 2021",Original,1,0,0,1,Unknown,918
"This is where we are after a series of right wing Tory governments, Zero hours contracts are cruel for people who need a regular income(who doesn't) starvation level benefit rates are cruel,especially for families with children, or for the sick.Increasing homelessness is cruel.",Statutory Sick Pay,4.52864674,2.208222872,0.37166151,positive,"Sep 15, 2021",Original,0,0,0,0,Male,909
"Freedom from debt should be accessible and affordable for everyone. The Debt Relief Order (DRO) was designed as a solution for those on the lowest incomes who simply cannot afford to repay their debts. Write to your MP , via ,",Low Income Families,5.140732137,1.382872992,0.966458705,positive,"Feb 25, 2021",Original,2,0,1,1,Unknown,790
"Tories plus Brexit = energy sector profits up then major energy crisis later, then public asked to pay much more for energy = more profit. Why don’t voters just get rid of these Tories? Especially in poorer areas. They’ve been tricked by the Tories and let down by Labour.",Cost of Living,2.437371683,3.769610947,-0.78262511,negative,"Sep 21, 2021",Original,4,0,0,4,Male,710
"They busy looting the same shops that feed their families 🙁, when thy being retrenched because the same shops can't afford their salaries, thy wil cry with high unemployment rate yet they als added to the increase by destroying a little that we have. NO HOPE IN SA😭 ShutdownSA",Poor People,1.318853056,6.428515388,-1.930554752,negative,"Jul 12, 2021",Original,8,0,0,8,Unknown,669
"An increase to NI is just a joke. I’m paying more out due to furlough when I worked all throughout COVID and to make it worse, it’s another pay cut for me (3rd in 2 years) as I’ve not had a pay rise  not even an inflation rise  in 2 years 🤯😡 NationalInsurance BorisTheLiar",House Prices,2.23607233,7.054572294,-1.495528647,negative,"Sep 7, 2021",Original,10,3,0,7,Unknown,441
"New research shows that fossil fuel prices are only 50% of their true cost. One of the key reasons: “the failure to make polluters pay for the deaths and poor health caused by air pollution”. Fossil fuel subsidies are a human rights issue. ,",Mental Health,2.132700223,3.298409579,-0.78262511,negative,"Oct 6, 2021",Original,5,0,2,3,Female,378
"Worth a read if you care that every child matters? Mainly white children being ruined due to poverty, poor parenting, organised grooming gangs. Sadly those who are paid or elected to care for them, don't!Perverts Paradise in the UK. Lives ruined before they start. Politicians?",Government Support,3.14736428,5.624950965,-0.927220455,negative,"Jul 31, 2021",Original,4,0,1,3,Male,241
